,num_sessions,city,country,device_class,instant_booking,user_verified,days
124,1,Dublin,IE,desktop,Instant,Verified,30
125,1,Berlin,DE,desktop,Not_instant,Verified,152
126,1,Regensburg,DE,phone,Not_instant,Verified,41
127,1,Marburg,DE,desktop,Not_instant,Verified,61
128,1,Amsterdam,NL,desktop,Not_instant,Verified,33
129,1,London,GB,phone,Not_instant,Verified,44
130,2,Berlin,DE,phone,Not_instant,Verified,334
131,1,Koblenz,DE,tablet,Not_instant,Verified,91
132,1,Berlin,DE,desktop,Instant,Verified,33
133,1,Nuremberg,DE,phone,Instant,Verified,30
134,1,London,GB,phone,Instant,Verified,30
135,1,Frankfurt,DE,desktop,Not_instant,Verified,76
136,1,Vienna,AT,desktop,Instant,Not_verified,53
137,1,Berlin,DE,desktop,Not_instant,Verified,121
138,1,Stuttgart,DE,desktop,Not_instant,Verified,30
139,1,Linz,AT,desktop,Not_instant,Verified,97
140,1,Berlin,DE,desktop,Not_instant,Verified,61
141,1,Basel,CH,desktop,Not_instant,Verified,60
142,1,Nuremberg,DE,phone,Instant,Verified,30
